
Generating: '/home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py'

Executing: /usr/bin/python2 -u /home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py

i = 384, real = 109, imag = 54
i = 385, real = 125, imag = 54
i = 386, real = 109, imag = 70
i = 387, real = 125, imag = 70
i = 388, real = 117, imag = 86
i = 389, real = 133, imag = 86
i = 390, real = 117, imag = 102
i = 391, real = 133, imag = 102
i = 392, real = 125, imag = 62
i = 393, real = 141, imag = 62
i = 394, real = 125, imag = 78
i = 395, real = 141, imag = 78
i = 396, real = 133, imag = 94
i = 397, real = 149, imag = 94
i = 398, real = 133, imag = 110
i = 399, real = 149, imag = 110
i = 400, real = 145, imag = 70
i = 401, real = 161, imag = 70
i = 402, real = 145, imag = 86
i = 403, real = 161, imag = 86
i = 404, real = 153, imag = 102
i = 405, real = 169, imag = 102
i = 406, real = 153, imag = 118
i = 407, real = 169, imag = 118
i = 408, real = 161, imag = 78
i = 409, real = 177, imag = 78
i = 410, real = 161, imag = 94
i = 411, real = 177, imag = 94
i = 412, real = 169, imag = 110
i = 413, real = 185, imag = 110
i = 414, real = 169, imag = 126
i = 415, real = 185, imag = 126
i = 416, real = 117, imag = 90
i = 417, real = 133, imag = 90
i = 418, real = 117, imag = 106
i = 419, real = 133, imag = 106
i = 420, real = 125, imag = 122
i = 421, real = 141, imag = 122
i = 422, real = 125, imag = 138
i = 423, real = 141, imag = 138
i = 424, real = 133, imag = 98
i = 425, real = 149, imag = 98
i = 426, real = 133, imag = 114
i = 427, real = 149, imag = 114
i = 428, real = 141, imag = 130
i = 429, real = 157, imag = 130
i = 430, real = 141, imag = 146
i = 431, real = 157, imag = 146
i = 432, real = 153, imag = 106
i = 433, real = 169, imag = 106
i = 434, real = 153, imag = 122
i = 435, real = 169, imag = 122
i = 436, real = 161, imag = 138
i = 437, real = 177, imag = 138
i = 438, real = 161, imag = 154
i = 439, real = 177, imag = 154
i = 440, real = 169, imag = 114
i = 441, real = 185, imag = 114
i = 442, real = 169, imag = 130
i = 443, real = 185, imag = 130
i = 444, real = 177, imag = 146
i = 445, real = 193, imag = 146
i = 446, real = 177, imag = 162
i = 447, real = 193, imag = 162
i = 448, real = 127, imag = 126
i = 449, real = 143, imag = 126
i = 450, real = 127, imag = 142
i = 451, real = 143, imag = 142
i = 452, real = 135, imag = 158
i = 453, real = 151, imag = 158
i = 454, real = 135, imag = 174
i = 455, real = 151, imag = 174
i = 456, real = 143, imag = 134
i = 457, real = 159, imag = 134
i = 458, real = 143, imag = 150
i = 459, real = 159, imag = 150
i = 460, real = 151, imag = 166
i = 461, real = 167, imag = 166
i = 462, real = 151, imag = 182
i = 463, real = 167, imag = 182
i = 464, real = 163, imag = 142
i = 465, real = 179, imag = 142
i = 466, real = 163, imag = 158
i = 467, real = 179, imag = 158
i = 468, real = 171, imag = 174
i = 469, real = 187, imag = 174
i = 470, real = 171, imag = 190
i = 471, real = 187, imag = 190
i = 472, real = 179, imag = 150
i = 473, real = 195, imag = 150
i = 474, real = 179, imag = 166
i = 475, real = 195, imag = 166
i = 476, real = 187, imag = 182
i = 477, real = 203, imag = 182
i = 478, real = 187, imag = 198
i = 479, real = 203, imag = 198
i = 480, real = 135, imag = 162
i = 481, real = 151, imag = 162
i = 482, real = 135, imag = 178
i = 483, real = 151, imag = 178
i = 484, real = 143, imag = 194
i = 485, real = 159, imag = 194
i = 486, real = 143, imag = 210
i = 487, real = 159, imag = 210
i = 488, real = 151, imag = 170
i = 489, real = 167, imag = 170
